t,num_candidates,num_survival,hazard_ratio,5th_percentile,95th_percentile
22,163188,147455,0.096410,0.094894,0.098210
23,147455,133362,0.095575,0.094118,0.097003
24,133362,120477,0.096617,0.095143,0.098268
25,120477,108984,0.095396,0.093277,0.097332
26,108984,98557,0.095675,0.093839,0.097345
27,98557,89098,0.095975,0.094588,0.098030
28,89098,80598,0.095401,0.093655,0.097075
29,80598,73028,0.093923,0.091721,0.096018
30,73028,66312,0.091965,0.089884,0.094528
31,66312,60124,0.093316,0.091422,0.095050
32,60124,54648,0.091078,0.089085,0.093641
